통계표코드,통계명,통계항목코드,통계항목명,단위,date,value
200Y002,주요지표(분기지표),10111,"국내총생산(GDP)(실질, 계절조정, 전기비)",% ,2018-01-18,1.2
200Y002,주요지표(분기지표),10111,"국내총생산(GDP)(실질, 계절조정, 전기비)",% ,2018-02-18,0.6
200Y002,주요지표(분기지표),10111,"국내총생산(GDP)(실질, 계절조정, 전기비)",% ,2018-03-18,0.7
200Y002,주요지표(분기지표),10111,"국내총생산(GDP)(실질, 계절조정, 전기비)",% ,2018-04-18,0.7
200Y002,주요지표(분기지표),10111,"국내총생산(GDP)(실질, 계절조정, 전기비)",% ,2019-01-19,-0.2
200Y002,주요지표(분기지표),10111,"국내총생산(GDP)(실질, 계절조정, 전기비)",% ,2019-02-19,1.1
200Y002,주요지표(분기지표),10111,"국내총생산(GDP)(실질, 계절조정, 전기비)",% ,2019-03-19,0.5
200Y002,주요지표(분기지표),10111,"국내총생산(GDP)(실질, 계절조정, 전기비)",% ,2019-04-19,1.3
200Y002,주요지표(분기지표),10111,"국내총생산(GDP)(실질, 계절조정, 전기비)",% ,2020-01-20,-1.3
200Y002,주요지표(분기지표),10111,"국내총생산(GDP)(실질, 계절조정, 전기비)",% ,2020-02-20,-3
200Y002,주요지표(분기지표),10111,"국내총생산(GDP)(실질, 계절조정, 전기비)",% ,2020-03-20,2.3
200Y002,주요지표(분기지표),10111,"국내총생산(GDP)(실질, 계절조정, 전기비)",% ,2020-04-20,1.2
200Y002,주요지표(분기지표),10111,"국내총생산(GDP)(실질, 계절조정, 전기비)",% ,2021-01-21,1.7
200Y002,주요지표(분기지표),10111,"국내총생산(GDP)(실질, 계절조정, 전기비)",% ,2021-02-21,0.8
200Y002,주요지표(분기지표),10111,"국내총생산(GDP)(실질, 계절조정, 전기비)",% ,2021-03-21,0.2
200Y002,주요지표(분기지표),10111,"국내총생산(GDP)(실질, 계절조정, 전기비)",% ,2021-04-21,1.3
200Y002,주요지표(분기지표),10111,"국내총생산(GDP)(실질, 계절조정, 전기비)",% ,2022-01-22,0.6
200Y002,주요지표(분기지표),10111,"국내총생산(GDP)(실질, 계절조정, 전기비)",% ,2022-02-22,0.7
