,통계표코드,통계명,통계항목1코드,통계항목명1,통계항목2코드,통계항목명2,통계항목3코드,통계항목명3,단위,date,value
0,200Y002,2.1.1.2. 주요지표(분기지표),10123,설비투자,,,,,% ,2018-01-18,4.4
1,200Y002,2.1.1.2. 주요지표(분기지표),10123,설비투자,,,,,% ,2018-02-18,-8.2
2,200Y002,2.1.1.2. 주요지표(분기지표),10123,설비투자,,,,,% ,2018-03-18,-3.3
3,200Y002,2.1.1.2. 주요지표(분기지표),10123,설비투자,,,,,% ,2018-04-18,3.2
4,200Y002,2.1.1.2. 주요지표(분기지표),10123,설비투자,,,,,% ,2019-01-19,-8.3
5,200Y002,2.1.1.2. 주요지표(분기지표),10123,설비투자,,,,,% ,2019-02-19,3
6,200Y002,2.1.1.2. 주요지표(분기지표),10123,설비투자,,,,,% ,2019-03-19,0.6
7,200Y002,2.1.1.2. 주요지표(분기지표),10123,설비투자,,,,,% ,2019-04-19,3.3
8,200Y002,2.1.1.2. 주요지표(분기지표),10123,설비투자,,,,,% ,2020-01-20,-0.4
9,200Y002,2.1.1.2. 주요지표(분기지표),10123,설비투자,,,,,% ,2020-02-20,1.5
10,200Y002,2.1.1.2. 주요지표(분기지표),10123,설비투자,,,,,% ,2020-03-20,5.9
11,200Y002,2.1.1.2. 주요지표(분기지표),10123,설비투자,,,,,% ,2020-04-20,-0.2
12,200Y002,2.1.1.2. 주요지표(분기지표),10123,설비투자,,,,,% ,2021-01-21,6.8
13,200Y002,2.1.1.2. 주요지표(분기지표),10123,설비투자,,,,,% ,2021-02-21,0.9
14,200Y002,2.1.1.2. 주요지표(분기지표),10123,설비투자,,,,,% ,2021-03-21,-3
15,200Y002,2.1.1.2. 주요지표(분기지표),10123,설비투자,,,,,% ,2021-04-21,-0.2
16,200Y002,2.1.1.2. 주요지표(분기지표),10123,설비투자,,,,,% ,2022-01-22,-3.9
17,200Y002,2.1.1.2. 주요지표(분기지표),10123,설비투자,,,,,% ,2022-02-22,0.5
