통계표코드,통계명,통계항목1코드,통계항목명1,단위,date,value
403Y003,3.3.1.2.1. 수입금액지수,*AA,총지수,2015=100,2018-01-18,122.31
403Y003,3.3.1.2.1. 수입금액지수,*AA,총지수,2015=100,2018-02-18,123.5
403Y003,3.3.1.2.1. 수입금액지수,*AA,총지수,2015=100,2018-03-18,120.23
403Y003,3.3.1.2.1. 수입금액지수,*AA,총지수,2015=100,2018-04-18,128.88
403Y003,3.3.1.2.1. 수입금액지수,*AA,총지수,2015=100,2019-01-19,114.52
403Y003,3.3.1.2.1. 수입금액지수,*AA,총지수,2015=100,2019-02-19,118.71
403Y003,3.3.1.2.1. 수입금액지수,*AA,총지수,2015=100,2019-03-19,115.05
403Y003,3.3.1.2.1. 수입금액지수,*AA,총지수,2015=100,2019-04-19,116.12
403Y003,3.3.1.2.1. 수입금액지수,*AA,총지수,2015=100,2020-01-20,112.38
403Y003,3.3.1.2.1. 수입금액지수,*AA,총지수,2015=100,2020-02-20,100.03
403Y003,3.3.1.2.1. 수입금액지수,*AA,총지수,2015=100,2020-03-20,104.67
403Y003,3.3.1.2.1. 수입금액지수,*AA,총지수,2015=100,2020-04-20,114.53
403Y003,3.3.1.2.1. 수입금액지수,*AA,총지수,2015=100,2021-01-21,127.07
403Y003,3.3.1.2.1. 수입금액지수,*AA,총지수,2015=100,2021-02-21,138
403Y003,3.3.1.2.1. 수입금액지수,*AA,총지수,2015=100,2021-03-21,145.39
403Y003,3.3.1.2.1. 수입금액지수,*AA,총지수,2015=100,2021-04-21,160.06
403Y003,3.3.1.2.1. 수입금액지수,*AA,총지수,2015=100,2022-01-22,164.48
403Y003,3.3.1.2.1. 수입금액지수,*AA,총지수,2015=100,2022-02-22,170.83
