날짜,epu 지수
2016-01,181.9397678
2016-02,166.5955244
2016-03,112.4348088
2016-04,100.9960258
2016-05,103.9214401
2016-06,274.8091195
2016-07,214.1075253
2016-08,101.3116407
2016-09,123.5489835
2016-10,122.1712473
2016-11,387.9708219
2016-12,375.9069745
2017-01,391.7983996
2017-02,299.674847
2017-03,220.4021625
2017-04,165.3969514
2017-05,118.962016
2017-06,118.9507594
2017-07,97.31102292
2017-08,90.03429419
2017-09,102.0899353
2017-10,120.3185531
2017-11,93.28915903
2017-12,111.0299851
2018-01,95.63025873
2018-02,71.15735386
2018-03,129.418991
2018-04,103.8559255
2018-05,134.9642515
2018-06,126.3293888
2018-07,155.1538729
2018-08,149.4844141
2018-09,153.9600572
2018-10,176.2110793
2018-11,203.2453711
2018-12,243.0335581
2019-01,249.4365022
2019-02,146.8237611
2019-03,172.9947627
2019-04,138.9111784
2019-05,230.1457518
2019-06,248.5288699
2019-07,316.8554612
2019-08,538.1767645
2019-09,275.1985474
2019-10,274.0244017
2019-11,239.3559503
2019-12,257.8861252
2020-01,255.2304948
2020-02,159.1516522
2020-03,224.8715613
2020-04,211.4946152
2020-05,252.0868152
2020-06,245.7357379
2020-07,160.6975351
2020-08,162.8207108
2020-09,136.2968059
2020-10,189.3790961
2020-11,287.6910663
2020-12,182.5121801
2021-01,212.1689492
2021-02,130.9588859
2021-03,140.7314464
2021-04,161.6111134
2021-05,138.2802471
2021-06,145.228969
2021-07,150.9400402
2021-08,184.0365768
2021-09,166.5903382
2021-10,205.4068874
2021-11,217.7257614
2021-12,255.3887188
2022-01,228.802427
2022-02,270.1533185
2022-03,364.9962043
2022-04,233.9176812
2022-05,287.7822542
2022-06,256.9677782
2022-07,289.7007691
